gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,Yes,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(22.5-66.5],Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,Yes,(22.5-66.5],Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,Yes,(22.5-66.5],No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(-inf-9.5],Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,Yes,(9.5-22.5],Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Female,(-inf-0.5],Yes,No,(-inf-9.5],Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,Yes,(22.5-66.5],Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(66.5-inf),Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,No,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,Yes,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(0.5-inf),Yes,No,(-inf-9.5],No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,No,(66.5-inf),Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],Yes,No,(-inf-9.5],Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),(-inf-29.525],(375.15-inf),Yes
Female,(0.5-inf),Yes,No,(-inf-9.5],No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(-inf-29.525],(-inf-375.15],Yes
Female,(0.5-inf),Yes,No,(22.5-66.5],No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(-inf-9.5],Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,Yes,(22.5-66.5],Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(9.5-22.5],Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(-inf-9.5],No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,Yes,(22.5-66.5],Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),Yes,No,(22.5-66.5],Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,No,(9.5-22.5],Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(9.5-22.5],Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,Yes,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(9.5-22.5],Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(9.5-22.5],No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,Yes,(-inf-9.5],Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(66.5-inf),Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),Yes,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,Yes,(9.5-22.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),(-inf-29.525],(375.15-inf),Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(9.5-22.5],Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),Yes,No,(-inf-9.5],Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,No,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],Yes,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),(-inf-29.525],(-inf-375.15],Yes
Female,(0.5-inf),Yes,No,(9.5-22.5],Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(22.5-66.5],No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(22.5-66.5],Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,(-inf-29.525],(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(22.5-66.5],Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),Yes,No,(-inf-9.5],Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(0.5-inf),No,No,(-inf-9.5],No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(-inf-29.525],(-inf-375.15],Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(-inf-375.15],Yes
Female,(0.5-inf),No,No,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(0.5-inf),No,No,(22.5-66.5],Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,Yes,(22.5-66.5],No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,Yes,(-inf-9.5],No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(-inf-375.15],Yes
Female,(-inf-0.5],Yes,Yes,(9.5-22.5],Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],Yes,No,(22.5-66.5],No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,Yes,(-inf-9.5],Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(-inf-9.5],Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(0.5-inf),No,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(-inf-0.5],No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),(29.525-inf),(-inf-375.15],Yes
Male,(0.5-inf),Yes,No,(9.5-22.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Male,(0.5-inf),No,No,(-inf-9.5],Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,(29.525-inf),(-inf-375.15],Yes
Male,(-inf-0.5],Yes,Yes,(22.5-66.5],Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,(29.525-inf),(375.15-inf),Yes
Female,(-inf-0.5],No,No,(-inf-9.5],Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,(29.525-inf),(-inf-375.15],Yes
